Site ID,Lon,Lat,Vertical Rate (mm/yr),Vertical Rate - BOP corrected (mm/yr),1-sigma uncertainty (mm/yr),Number of obs,Quality Factor,Average distance between coastal point and observations,,,,,,,
272,174.047438,-35.155767,-0.499071,-0.499071,1.873259,1956,3.666667,29.698286,,,,,,,
273,174.061162,-35.149522,-0.500678,-0.500678,1.818504,1864,3.666667,30.094299,,,,,,,
274,174.069502,-35.157487,-0.457166,-0.457166,1.896039,1910,3.666667,29.709702,,,,,,,
275,174.069266,-35.151788,-0.489263,-0.489263,1.852398,1860,3.666667,30.007477,,,,,,,
276,174.059108,-35.148679,-0.533603,-0.533603,2.04261,1858,3.666667,30.108773,,,,,,,
277,174.052406,-35.143412,-0.583619,-0.583619,1.911736,1795,3.666667,30.180129,,,,,,,
278,174.048035,-35.153434,-0.437866,-0.437866,1.840848,1936,3.666667,29.839869,,,,,,,
279,174.042405,-35.148191,-0.417696,-0.417696,2.043551,1887,3.666667,30.023001,,,,,,,
280,174.03857,-35.159848,-0.629498,-0.629498,2.08287,2035,3.666667,29.54958,,,,,,,
281,174.033792,-35.162955,-0.620371,-0.620371,2.035857,2067,3.666667,29.327063,,,,,,,
282,174.024448,-35.154261,-0.591978,-0.591978,2.073277,2008,3.666667,29.777437,,,,,,,
283,174.022725,-35.149309,-0.619093,-0.619093,2.006346,1934,3.666667,29.881427,,,,,,,
284,174.021995,-35.144497,-0.695078,-0.695078,2.060361,1847,3.666667,29.896443,,,,,,,
285,174.009133,-35.140756,-0.845717,-0.845717,2.071849,1833,3.666667,30.061558,,,,,,,
286,174.006923,-35.144403,-0.757455,-0.757455,1.810224,1883,3.666667,29.935473,,,,,,,
287,173.994368,-35.14503,-0.86104,-0.86104,2.096487,1914,3.666667,29.930375,,,,,,,
